,Location,Building Model,Overlay District,Improvements,Land,Total
80,11 ADAMS ST,Residential,,6.527777777777779,10.047846889952153,8.419023136246787
11291,20 VINE BROOK RD,Residential,,0.7163323782234957,9.944134078212292,5.900816070307595
11943,7 WHITTIER RD,Residential,,7.424593967517401,9.956709956709958,8.55305466237942
5822,3 JOHN POULTER RD,Residential,,14.082503556187767,10.062111801242237,11.936339522546419
1934,43 CARVILLE AVE,Residential,,16.233766233766232,9.986130374479888,13.212608987256875
1166,20 BIRD HILL RD,Residential,,12.149532710280374,9.987029831387808,11.052631578947368
9874,8 SADDLE CLUB RD,Residential,,14.152410575427682,10.034602076124568,11.788079470198676
1003,6 BEECH TREE LN,Residential,,,10.010764262648008,81.70075349838535
5014,26 HANCOCK ST,Residential,,5.41871921182266,9.907529722589167,7.58444869343531
10871,3 TIDD CIR,Residential,,3.650442477876106,10.102489019033674,6.427221172022684
8665,7 OAKLAND ST,Commercial,,8.765652951699463,0.0,6.159648020113137
452,8 BALLARD TER,Residential,,14.018691588785046,9.868421052631579,11.928429423459244
1820,22 CALVIN ST,Residential,,14.975845410628018,10.0,12.750333778371163
5478,4 HILL ST,Residential,,12.108108108108109,9.949409780775717,11.264822134387352
11670,36 WARD ST,Residential,,16.27358490566038,10.015649452269171,13.584398117014123
3006,38 DOWNING RD,Residential,,6.8181818181818175,10.052219321148826,8.408215661103979
4832,6 GROVE ST,Residential,,14.863258026159334,10.030395136778116,12.741827885256837
9387,5 POWERS CT,Residential,,13.09987029831388,9.946236559139784,11.55115511551155
12261,347 WOBURN ST,Residential,,16.27358490566038,9.967845659163988,13.60544217687075
11977,40 WILLIAMS RD,Residential,,16.07898448519041,10.025380710659897,12.89245156980628
6649,41 LOCUST AVE,Residential,,6.842105263157896,10.081466395112017,8.891752577319588
5950,117 KENDALL RD,Residential,,9.549795361527966,10.049627791563276,9.811565951916828
7934,2198 MASSACHUSETTS AVE,Residential,,6.554121151936444,9.786476868327403,7.711918419375398
550,35 BARTLETT AVE,Residential,,13.038548752834467,9.984152139461171,11.76470588235294
10298,31 SLOCUM RD,Residential,,6.944444444444445,10.033076074972437,8.745980707395498
9557,132 REED ST,Residential,,16.07361963190184,9.882005899705016,13.261888814467515
4796,5 GREY OAKS CIR,Res Condo,,26.19402985074627,,26.19402985074627
7118,126 MAPLE ST,Residential,,22.804878048780488,9.967845659163988,17.267683772538142
8745,59 OUTLOOK DR,Residential,,5.520702634880803,9.961190168175937,7.707006369426751
4849,145 GROVE ST,Residential,,16.201117318435752,10.135135135135135,13.78614660390047
